Year,Locationabbr,Locationdesc,Topic,Question,Response,Data_value
2023,AK,Alaska,Physical Activity Index,Participated in enough Aerobic and Muscle Strengthening exercises to meet guidelines (variable calculated from one or more BRFSS questions),Yes,21.9
2023,AK,Alaska,Physical Activity Index,Participated in enough Aerobic and Muscle Strengthening exercises to meet guidelines (variable calculated from one or more BRFSS questions),No,78.1
2023,AK,Alaska,Physical Activity Index,Participated in enough Aerobic and Muscle Strengthening exercises to meet guidelines (variable calculated from one or more BRFSS questions),Yes,39.2
2023,AK,Alaska,Physical Activity Index,Participated in enough Aerobic and Muscle Strengthening exercises to meet guidelines (variable calculated from one or more BRFSS questions),No,60.8
2023,AK,Alaska,Physical Activity Index,Participated in enough Aerobic and Muscle Strengthening exercises to meet guidelines (variable calculated from one or more BRFSS questions),Yes,34.0
2023,AK,Alaska,Physical Activity Index,Participated in enough Aerobic and Muscle Strengthening exercises to meet guidelines (variable calculated from one or more BRFSS questions),No,66.0
2023,AK,Alaska,Physical Activity Index,Participated in enough Aerobic and Muscle Strengthening exercises to meet guidelines (variable calculated from one or more BRFSS questions),Yes,34.1
2023,AK,Alaska,Physical Activity Index,Participated in enough Aerobic and Muscle Strengthening exercises to meet guidelines (variable calculated from one or more BRFSS questions),No,65.9
2023,AK,Alaska,Physical Activity Index,Participated in enough Aerobic and Muscle Strengthening exercises to meet guidelines (variable calculated from one or more BRFSS questions),Yes,37.0
2023,AK,Alaska,Physical Activity Index,Participated in enough Aerobic and Muscle Strengthening exercises to meet guidelines (variable calculated from one or more BRFSS questions),No,63.0
2023,AK,Alaska,Physical Activity Index,Participated in enough Aerobic and Muscle Strengthening exercises to meet guidelines (variable calculated from one or more BRFSS questions),Yes,41.1
2023,AK,Alaska,Physical Activity Index,Participated in enough Aerobic and Muscle Strengthening exercises to meet guidelines (variable calculated from one or more BRFSS questions),No,58.9
2023,AK,Alaska,Exercise,"During the past month, did you participate in any physical activities? (variable calculated from one or more BRFSS questions)",Yes,79.1
2023,AK,Alaska,Exercise,"During the past month, did you participate in any physical activities? (variable calculated from one or more BRFSS questions)",No,20.9
2023,AK,Alaska,Exercise,"During the past month, did you participate in any physical activities? (variable calculated from one or more BRFSS questions)",Yes,79.4
2023,AK,Alaska,Exercise,"During the past month, did you participate in any physical activities? (variable calculated from one or more BRFSS questions)",No,20.6
2023,AK,Alaska,Exercise,"During the past month, did you participate in any physical activities? (variable calculated from one or more BRFSS questions)",Yes,78.8
2023,AK,Alaska,Exercise,"During the past month, did you participate in any physical activities? (variable calculated from one or more BRFSS questions)",No,21.2
2023,AK,Alaska,Exercise,"During the past month, did you participate in any physical activities? (variable calculated from one or more BRFSS questions)",Yes,84.3
2023,AK,Alaska,Exercise,"During the past month, did you participate in any physical activities? (variable calculated from one or more BRFSS questions)",No,15.7
2023,AK,Alaska,Exercise,"During the past month, did you participate in any physical activities? (variable calculated from one or more BRFSS questions)",Yes,83.4
2023,AK,Alaska,Exercise,"During the past month, did you participate in any physical activities? (variable calculated from one or more BRFSS questions)",No,16.7
2023,AK,Alaska,Exercise,"During the past month, did you participate in any physical activities? (variable calculated from one or more BRFSS questions)",Yes,85.0
2023,AK,Alaska,Exercise,"During the past month, did you participate in any physical activities? (variable calculated from one or more BRFSS questions)",No,15.0
2023,AK,Alaska,Exercise,"During the past month, did you participate in any physical activities? (variable calculated from one or more BRFSS questions)",Yes,77.8
2023,AK,Alaska,Exercise,"During the past month, did you participate in any physical activities? (variable calculated from one or more BRFSS questions)",No,22.2
2023,AK,Alaska,Exercise,"During the past month, did you participate in any physical activities? (variable calculated from one or more BRFSS questions)",Yes,75.1
2023,AK,Alaska,Exercise,"During the past month, did you participate in any physical activities? (variable calculated from one or more BRFSS questions)",No,24.9
2023,AK,Alaska,Exercise,"During the past month, did you participate in any physical activities? (variable calculated from one or more BRFSS questions)",Yes,70.8
2023,AK,Alaska,Exercise,"During the past month, did you participate in any physical activities? (variable calculated from one or more BRFSS questions)",No,29.2
2023,AK,Alaska,Exercise,"During the past month, did you participate in any physical activities? (variable calculated from one or more BRFSS questions)",Yes,82.6
2023,AK,Alaska,Exercise,"During the past month, did you participate in any physical activities? (variable calculated from one or more BRFSS questions)",No,17.4
2023,AK,Alaska,Exercise,"During the past month, did you participate in any physical activities? (variable calculated from one or more BRFSS questions)",Yes,77.4
2023,AK,Alaska,Exercise,"During the past month, did you participate in any physical activities? (variable calculated from one or more BRFSS questions)",No,22.6
2023,AK,Alaska,Exercise,"During the past month, did you participate in any physical activities? (variable calculated from one or more BRFSS questions)",Yes,74.1
2023,AK,Alaska,Exercise,"During the past month, did you participate in any physical activities? (variable calculated from one or more BRFSS questions)",No,25.9
2023,AK,Alaska,Exercise,"During the past month, did you participate in any physical activities? (variable calculated from one or more BRFSS questions)",Yes,71.2
2023,AK,Alaska,Exercise,"During the past month, did you participate in any physical activities? (variable calculated from one or more BRFSS questions)",No,28.8
2023,AK,Alaska,Exercise,"During the past month, did you participate in any physical activities? (variable calculated from one or more BRFSS questions)",Yes,
2023,AK,Alaska,Exercise,"During the past month, did you participate in any physical activities? (variable calculated from one or more BRFSS questions)",No,
2023,AK,Alaska,Exercise,"During the past month, did you participate in any physical activities? (variable calculated from one or more BRFSS questions)",Yes,67.3
2023,AK,Alaska,Exercise,"During the past month, did you participate in any physical activities? (variable calculated from one or more BRFSS questions)",No,32.7
2023,AK,Alaska,Exercise,"During the past month, did you participate in any physical activities? (variable calculated from one or more BRFSS questions)",Yes,77.2
2023,AK,Alaska,Exercise,"During the past month, did you participate in any physical activities? (variable calculated from one or more BRFSS questions)",No,22.8
2023,AK,Alaska,Exercise,"During the past month, did you participate in any physical activities? (variable calculated from one or more BRFSS questions)",Yes,72.8
2023,AK,Alaska,Exercise,"During the past month, did you participate in any physical activities? (variable calculated from one or more BRFSS questions)",No,27.2
2023,AK,Alaska,Exercise,"During the past month, did you participate in any physical activities? (variable calculated from one or more BRFSS questions)",Yes,65.5
2023,AK,Alaska,Exercise,"During the past month, did you participate in any physical activities? (variable calculated from one or more BRFSS questions)",No,34.5
2023,AK,Alaska,Exercise,"During the past month, did you participate in any physical activities? (variable calculated from one or more BRFSS questions)",Yes,72.8
2023,AK,Alaska,Exercise,"During the past month, did you participate in any physical activities? (variable calculated from one or more BRFSS questions)",No,27.2
2023,AK,Alaska,Exercise,"During the past month, did you participate in any physical activities? (variable calculated from one or more BRFSS questions)",Yes,80.1
2023,AK,Alaska,Exercise,"During the past month, did you participate in any physical activities? (variable calculated from one or more BRFSS questions)",No,19.9
2023,AK,Alaska,Exercise,"During the past month, did you participate in any physical activities? (variable calculated from one or more BRFSS questions)",Yes,88.9
2023,AK,Alaska,Exercise,"During the past month, did you participate in any physical activities? (variable calculated from one or more BRFSS questions)",No,11.1
2023,AK,Alaska,Exercise,"During the past month, did you participate in any physical activities? (variable calculated from one or more BRFSS questions)",Yes,61.9
2023,AK,Alaska,Exercise,"During the past month, did you participate in any physical activities? (variable calculated from one or more BRFSS questions)",No,38.1
2023,AK,Alaska,Exercise,"During the past month, did you participate in any physical activities? (variable calculated from one or more BRFSS questions)",Yes,65.8
2023,AK,Alaska,Exercise,"During the past month, did you participate in any physical activities? (variable calculated from one or more BRFSS questions)",No,34.2
2023,AK,Alaska,Exercise,"During the past month, did you participate in any physical activities? (variable calculated from one or more BRFSS questions)",Yes,74.7
2023,AK,Alaska,Exercise,"During the past month, did you participate in any physical activities? (variable calculated from one or more BRFSS questions)",No,25.3
2023,AK,Alaska,Exercise,"During the past month, did you participate in any physical activities? (variable calculated from one or more BRFSS questions)",Yes,74.5
2023,AK,Alaska,Exercise,"During the past month, did you participate in any physical activities? (variable calculated from one or more BRFSS questions)",No,25.5
2023,AK,Alaska,Exercise,"During the past month, did you participate in any physical activities? (variable calculated from one or more BRFSS questions)",Yes,80.5
2023,AK,Alaska,Exercise,"During the past month, did you participate in any physical activities? (variable calculated from one or more BRFSS questions)",No,19.5
2023,AK,Alaska,Exercise,"During the past month, did you participate in any physical activities? (variable calculated from one or more BRFSS questions)",Yes,88.3
2023,AK,Alaska,Exercise,"During the past month, did you participate in any physical activities? (variable calculated from one or more BRFSS questions)",No,11.7
2023,AK,Alaska,Exercise,"During the past month, did you participate in any physical activities? (variable calculated from one or more BRFSS questions)",Yes,90.7
2023,AK,Alaska,Exercise,"During the past month, did you participate in any physical activities? (variable calculated from one or more BRFSS questions)",No,9.3
2023,AL,Alabama,Aerobic Activity,Participated in 150 minutes or more of Aerobic Physical Activity per week (variable calculated from one or more BRFSS questions),Yes,56.3
2023,AL,Alabama,Aerobic Activity,Participated in 150 minutes or more of Aerobic Physical Activity per week (variable calculated from one or more BRFSS questions),No,43.7
2023,AL,Alabama,Aerobic Activity,Participated in 150 minutes or more of Aerobic Physical Activity per week (variable calculated from one or more BRFSS questions),Yes,59.7
2023,AL,Alabama,Aerobic Activity,Participated in 150 minutes or more of Aerobic Physical Activity per week (variable calculated from one or more BRFSS questions),No,40.3
2023,AL,Alabama,Aerobic Activity,Participated in 150 minutes or more of Aerobic Physical Activity per week (variable calculated from one or more BRFSS questions),Yes,53.2
2023,AL,Alabama,Aerobic Activity,Participated in 150 minutes or more of Aerobic Physical Activity per week (variable calculated from one or more BRFSS questions),No,46.8
2023,AL,Alabama,Aerobic Activity,Participated in 150 minutes or more of Aerobic Physical Activity per week (variable calculated from one or more BRFSS questions),Yes,65.5
2023,AL,Alabama,Aerobic Activity,Participated in 150 minutes or more of Aerobic Physical Activity per week (variable calculated from one or more BRFSS questions),No,34.5
2023,AL,Alabama,Aerobic Activity,Participated in 150 minutes or more of Aerobic Physical Activity per week (variable calculated from one or more BRFSS questions),Yes,57.5
2023,AL,Alabama,Aerobic Activity,Participated in 150 minutes or more of Aerobic Physical Activity per week (variable calculated from one or more BRFSS questions),No,42.5
2023,AL,Alabama,Aerobic Activity,Participated in 150 minutes or more of Aerobic Physical Activity per week (variable calculated from one or more BRFSS questions),Yes,59.7
2023,AL,Alabama,Aerobic Activity,Participated in 150 minutes or more of Aerobic Physical Activity per week (variable calculated from one or more BRFSS questions),No,40.3
2023,AL,Alabama,Aerobic Activity,Participated in 150 minutes or more of Aerobic Physical Activity per week (variable calculated from one or more BRFSS questions),Yes,56.0
2023,AL,Alabama,Aerobic Activity,Participated in 150 minutes or more of Aerobic Physical Activity per week (variable calculated from one or more BRFSS questions),No,44.0
2023,AL,Alabama,Aerobic Activity,Participated in 150 minutes or more of Aerobic Physical Activity per week (variable calculated from one or more BRFSS questions),Yes,55.2
2023,AL,Alabama,Aerobic Activity,Participated in 150 minutes or more of Aerobic Physical Activity per week (variable calculated from one or more BRFSS questions),No,44.8
2023,AL,Alabama,Aerobic Activity,Participated in 150 minutes or more of Aerobic Physical Activity per week (variable calculated from one or more BRFSS questions),Yes,49.9
2023,AL,Alabama,Aerobic Activity,Participated in 150 minutes or more of Aerobic Physical Activity per week (variable calculated from one or more BRFSS questions),No,50.1
2023,AL,Alabama,Aerobic Activity,Participated in 150 minutes or more of Aerobic Physical Activity per week (variable calculated from one or more BRFSS questions),Yes,57.8
2023,AL,Alabama,Aerobic Activity,Participated in 150 minutes or more of Aerobic Physical Activity per week (variable calculated from one or more BRFSS questions),No,42.2
2023,AL,Alabama,Aerobic Activity,Participated in 150 minutes or more of Aerobic Physical Activity per week (variable calculated from one or more BRFSS questions),Yes,51.4
2023,AL,Alabama,Aerobic Activity,Participated in 150 minutes or more of Aerobic Physical Activity per week (variable calculated from one or more BRFSS questions),No,48.6
2023,AL,Alabama,Aerobic Activity,Participated in 150 minutes or more of Aerobic Physical Activity per week (variable calculated from one or more BRFSS questions),Yes,
2023,AL,Alabama,Aerobic Activity,Participated in 150 minutes or more of Aerobic Physical Activity per week (variable calculated from one or more BRFSS questions),No,
2023,AL,Alabama,Aerobic Activity,Participated in 150 minutes or more of Aerobic Physical Activity per week (variable calculated from one or more BRFSS questions),Yes,
2023,AL,Alabama,Aerobic Activity,Participated in 150 minutes or more of Aerobic Physical Activity per week (variable calculated from one or more BRFSS questions),No,
2023,AL,Alabama,Aerobic Activity,Participated in 150 minutes or more of Aerobic Physical Activity per week (variable calculated from one or more BRFSS questions),Yes,
2023,AL,Alabama,Aerobic Activity,Participated in 150 minutes or more of Aerobic Physical Activity per week (variable calculated from one or more BRFSS questions),No,
2023,AL,Alabama,Aerobic Activity,Participated in 150 minutes or more of Aerobic Physical Activity per week (variable calculated from one or more BRFSS questions),Yes,
2023,AL,Alabama,Aerobic Activity,Participated in 150 minutes or more of Aerobic Physical Activity per week (variable calculated from one or more BRFSS questions),No,
2023,AL,Alabama,Aerobic Activity,Participated in 150 minutes or more of Aerobic Physical Activity per week (variable calculated from one or more BRFSS questions),Yes,59.2
2023,AL,Alabama,Aerobic Activity,Participated in 150 minutes or more of Aerobic Physical Activity per week (variable calculated from one or more BRFSS questions),No,40.8
2023,AL,Alabama,Aerobic Activity,Participated in 150 minutes or more of Aerobic Physical Activity per week (variable calculated from one or more BRFSS questions),Yes,52.0
2023,AL,Alabama,Aerobic Activity,Participated in 150 minutes or more of Aerobic Physical Activity per week (variable calculated from one or more BRFSS questions),No,48.0
